period,minute,second,play_pattern,team,player,under_pressure,body_part,type,outcome,technique,first_time,follows_dribble,redirect,one_on_one,open_goal,deflected,start_location_x,start_location_y,end_location_x,end_location_y,end_location_z,defenders_between
1,2,54,From Throw In,Barcelona,Nélson Cabral Semedo,,Right Foot,Open Play,Off T,Normal,,,,,,,90.1,50.4,120.0,26.1,0.2,2.0
1,6,38,From Free Kick,Barcelona,Luis Alberto Suárez Díaz,,Right Foot,Free Kick,Off T,Normal,,,,,,,88.3,29.6,120.0,35.9,1.7000000000000002,2.0
1,11,49,Regular Play,Athletic Bilbao,Iñaki Williams Arthuer,1.0,Right Foot,Open Play,Off T,Lob,True,,,,,,96.0,34.5,120.0,46.7,1.6,1.0
1,12,49,Regular Play,Athletic Bilbao,Raúl García Escudero,,Left Foot,Open Play,Saved,Normal,,,,,,,89.3,31.6,118.7,39.6,2.1,1.0
1,14,53,From Throw In,Athletic Bilbao,Yuri Berchiche Izeta,,Right Foot,Open Play,Off T,Normal,True,,,,,,99.0,39.9,120.0,57.5,4.7,3.0
1,24,59,From Free Kick,Barcelona,Luis Alberto Suárez Díaz,,Left Foot,Open Play,Saved,Normal,True,,,,,,110.1,42.4,114.9,41.7,0.2,1.0
1,27,59,From Corner,Athletic Bilbao,Mikel Balenziaga Oruesagasti,1.0,Left Foot,Open Play,Blocked,Normal,True,,,,,,92.7,35.0,103.9,38.9,,2.0
1,33,27,From Throw In,Barcelona,Ivan Rakitić,,Right Foot,Open Play,Off T,Normal,,,,,,,95.9,27.3,120.0,32.9,0.2,2.0
1,37,28,From Throw In,Barcelona,Luis Alberto Suárez Díaz,,Right Foot,Open Play,Saved,Normal,,,,True,,,115.0,52.8,118.9,44.1,0.6000000000000001,1.0
1,38,1,From Corner,Barcelona,Philippe Coutinho Correia,,Left Foot,Open Play,Off T,Normal,,,,,,,104.0,27.0,120.0,34.0,3.9,1.0
1,40,7,From Corner,Athletic Bilbao,Óscar de Marcos Arana,,Right Foot,Open Play,Goal,Volley,True,,,,,,114.1,43.6,120.0,37.7,0.5,1.0
1,42,57,From Kick Off,Barcelona,Philippe Coutinho Correia,,Head,Open Play,Saved,Normal,,,,True,,,112.0,44.0,119.0,37.6,0.9,1.0
1,45,59,From Throw In,Barcelona,Philippe Coutinho Correia,,Right Foot,Open Play,Saved,Half Volley,True,,,,,,105.0,34.0,119.0,39.6,2.4,3.0
2,48,33,From Free Kick,Barcelona,Arturo Erasmo Vidal Pardo,1.0,Head,Open Play,Blocked,Normal,,,,,,,115.3,48.1,115.8,47.4,,2.0
